title,director mean, director linear, director quad,writer mean, writer linear, writer quad,actor mean, actor linear, actor quad,rating, action adventure, drama, scifi fantasy, animation,comedy, kids family, art international, mystery suspense,romance, documentary, horror
Bulworth,67.5,67.5,67.5,53.279761904761905,56.81746031746032,54.795918367346935,57.7065949941991,57.006952969658826,57.313051161356896,3,0,1,0,0,1,0,0,0,1,0,0,76
Career Girls,91.2948717948718,91.2948717948718,91.2948717948718,91.51515151515152,91.51515151515152,91.51515151515152,79.10653513745618,78.15279628174363,78.2063552089019,3,0,1,0,0,0,0,0,0,0,0,0,88
Live Flesh,78.94736842105263,78.94736842105263,78.94736842105263,78.28540305010893,78.02069716775598,78.05733808674984,61.404855803111616,59.87835796847425,59.89838725707068,3,0,1,0,0,0,0,1,0,0,0,0,80
The Castle,96.0,96.0,96.0,80.04166666666666,82.56666666666668,81.22,78.11444206200304,75.10340001333034,76.09138010487597,3,0,0,0,0,1,0,0,0,0,0,0,86
Those Who Love Me Can Take the Train,75.66666666666667,75.66666666666667,75.66666666666667,0,0,0,65.56815995436737,67.37719510988669,66.83293313505293,5,0,1,0,0,0,0,1,0,1,0,0,59
Chairman of the Board,26.666666666666668,26.666666666666668,26.666666666666668,31.022222222222226,31.022222222222222,30.415151515151514,38.47477629278453,41.82327156493012,41.10073089871113,2,0,0,0,0,1,0,0,0,0,0,0,13
Chasing Amy,47.10476190476191,47.10476190476191,47.10476190476191,50.26923076923077,50.26923076923077,50.26923076923077,58.78926744639857,54.49438844510477,55.75805996293251,3,0,0,0,0,1,0,0,0,1,0,0,88
Children of Heaven,91.2,91.2,91.2,92.1,92.1,92.1,82.26666666666667,82.48631239935587,82.39019782473747,1,1,1,0,0,1,0,1,0,0,0,0,82
Chinese Box,52.604395604395606,52.604395604395606,52.604395604395606,61.51934598625775,66.69001033461818,63.73534499269793,61.40200206008329,59.58278341566855,60.030187851700454,3,0,1,0,0,0,0,0,0,0,0,0,62
Circumstance,85.0,85.0,85.0,85.0,85.0,85.0,78.9969696969697,76.74040404040404,77.3519379844961,3,0,1,0,0,0,0,1,0,1,0,0,85
City of Industry,50.43589743589744,50.43589743589744,50.43589743589744,17.666666666666668,17.666666666666668,17.666666666666668,44.58886238154123,43.920028008704506,44.00243130371186,3,1,1,0,0,0,0,0,1,0,0,0,43
Clay Pigeons,43.76190476190476,43.76190476190476,43.76190476190476,62.0,62.0,62.0,53.50681887641563,52.28305947441949,52.63551949700898,3,0,1,0,0,1,0,1,1,0,0,0,62
Clockwatchers,83.0,83.0,83.0,76.0,76.0,76.0,61.17191897982788,56.87877725125978,57.844418258261065,2,0,0,0,0,1,0,0,0,0,0,0,83
Con Air,22.01818181818182,22.01818181818182,22.01818181818182,44.28888888888889,44.28888888888889,44.28888888888889,51.002337257267634,49.1632645984438,49.40061251406206,3,1,0,0,0,0,0,0,0,0,0,0,55
Conceiving Ada,69.16666666666667,69.16666666666667,69.16666666666667,85.0,84.0,84.57142857142857,77.52124353586616,76.54472335815862,77.29106399041075,5,0,1,1,0,0,0,0,0,0,0,0,82
Conspiracy Theory,55.43382352941177,55.43382352941177,55.43382352941177,52.48366013071895,52.48366013071895,52.48366013071895,51.07767129966763,50.7131103931626,50.707245173246626,3,1,1,0,0,0,0,0,1,0,0,0,53
Cop Land,70.11111111111111,70.11111111111111,70.11111111111111,69.63888888888889,69.63888888888889,69.63888888888889,57.152813821148285,54.18470696761887,55.12123436831114,3,1,1,0,0,0,0,0,1,0,0,0,73
Dangerous Beauty,56.333333333333336,56.333333333333336,56.333333333333336,70.0,70.0,70.0,63.611050163130166,59.49816390417392,60.90544513352414,3,0,1,0,0,0,0,0,0,0,0,0,70
Cremaster 5,66.47619047619048,66.47619047619048,66.47619047619048,68.25,68.25,68.25,71.41090909090909,68.21010101010101,69.36395534290271,5,0,1,0,0,0,0,1,0,0,0,0,83
Gang Related,62.43939393939394,65.91919191919192,63.93073593073593,41.46666666666667,41.46666666666667,41.46666666666667,46.54918721109731,45.847396465361086,45.896312857883885,3,1,1,0,0,0,0,0,1,0,0,0,53
Critical Care,62.84280303030303,62.84280303030303,62.84280303030303,59.0,59.0,59.0,53.05634512057316,54.12819121607745,53.680040281109385,2,0,0,0,0,1,0,0,0,0,0,0,59
Dangerous Ground,38.42857142857143,38.42857142857143,38.42857142857143,29.2,22.133333333333336,26.17142857142857,18.886402708926294,21.146283587714404,20.36030229603679,3,1,1,0,0,0,0,0,0,0,0,0,8
Dark City,40.0,40.0,40.0,43.166666666666664,43.166666666666664,43.166666666666664,64.96451235089461,61.73143476674076,62.84711020984506,3,0,0,1,0,0,0,0,1,0,0,1,74
Deconstructing Harry,65.05714285714286,65.05714285714286,65.05714285714286,64.91836734693878,64.91836734693878,64.91836734693878,55.28224554703436,53.02501599647145,53.42661792938369,3,0,0,0,0,1,0,0,0,0,0,0,72
Deep Rising,40.22222222222222,40.22222222222222,40.22222222222222,39.07272727272727,39.07272727272727,39.07272727272727,43.174407900430424,45.93626347208268,45.27384166681538,3,1,0,1,0,0,0,0,1,0,0,0,31
Delta,79.33333333333333,79.33333333333333,79.33333333333333,83.9,83.9,83.9,65.44021164021164,65.07311207311207,65.19549008592563,5,0,1,0,0,0,0,0,0,0,0,0,67
Desperate Measures,66.63809523809523,66.63809523809523,66.63809523809523,28.5,28.5,28.5,38.41650750352221,41.2706977972546,40.19634101115095,3,1,1,0,0,0,0,0,1,0,0,0,17
Digging to China,43.0,43.0,43.0,63.07142857142857,63.07142857142857,63.07142857142857,50.275182540904765,48.85634444987762,49.17950041644562,1,0,1,0,0,0,0,0,0,0,0,0,43
Doctor Dolittle,47.6578947368421,47.6578947368421,47.6578947368421,39.833333333333336,39.833333333333336,39.833333333333336,57.531600966761395,60.04302465625995,59.47335444879904,0,1,0,1,0,1,1,0,0,0,0,0,32
East Palace West Palace,60.0,60.0,60.0,60.0,60.0,59.99999999999999,62.94444444444444,63.87959595959596,63.43782439782441,1,0,1,0,0,0,1,1,0,0,0,0,60
